,name,link,price,area,valueperm2,Quartos,Suítes,Garagens,Condomínio R$,Cidade,IPTU R$,Total de Andar do Empreendimento,Área Total,Nome do Edifício,Área Terreno,Aceita Permuta,Posição do Sol,Posição do Imóvel,Andar do Apartamento,Unidades no Andar,Aceita Financiamento
379,SQN 316 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-316-bloco-b-235445,3.900,"90,00",43,3,1,1,1.109,BRASÍLIA - ASA NORTE,,,,,,,,,,,
380,SQN 111 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-111-bloco-d-471725,4.350,"98,00",44,3,1,1,908,BRASÍLIA - ASA NORTE,1.845,6 Andares,,,,,,,,,
381,SQN 309 Bloco B apartamento,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-309-bloco-b-503729,3.500,"65,00",53,2,1,1,704,BRASÍLIA - ASA NORTE,259,,,,,,,,5° Andar,,
382,SEPS 712/912,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-287788,1.100,"29,00",37,1,,1,378,BRASÍLIA - ASA SUL,,,,,,,,,,,
383,SHTN Trecho 2 Lote 3,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-2-lote-3-602198,2.890,"33,00",87,1,1,1,,BRASÍLIA - ASA NORTE,,,,,,,,,,,
384,SGCV Lote 11,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-park-sul-brasilia-df-sgcv-lote-11-381010,1.200,"30,00",40,1,,1,,BRASÍLIA - PARK SUL,,,,,,,,,,,
385,CLN 116 Bloco E ED FLAMBOYANT,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-116-bloco-e-516471,700,"25,00",28,1,,,150,BRASÍLIA - ASA NORTE,,,,,,,,,,,
386,SCLRN 714 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sclrn-714-bloco-h-541064,1.150,"40,00",28,1,,,,BRASÍLIA - ASA NORTE,,,"45,00 m²",,,,,,,,
387,SEPS 712/912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-596025,1.200,"24,00",50,1,,1,340,BRASÍLIA - ASA SUL,,,"51,00 m²",,,,,,,,
388,CCSW 5,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-5-397353,1.300,"26,00",50,1,,1,315,BRASÍLIA - SUDOESTE,164,,"27,00 m²",,,,,,,,
389,SQNW 309 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-309-bloco-g-576250,7.500,"100,00",75,3,1,1,1.065,BRASÍLIA - NOROESTE,,7 Andares,"100,00 m²",,,,,,1° Andar,4,
390,SQS 415 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-415-bloco-a-599124,2.000,"64,00",31,2,,,,BRASÍLIA - ASA SUL,,,,,,,,,,,
391,CCSW 1 Lote 1 Bloco 2,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-ccsw-1-lote-1-bloco-2-600388,4.300,"116,00",37,3,1,1,1.574,BRASÍLIA - SUDOESTE,,,"226,00 m²",,,,,,,,
392,SQS 313 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-313-bloco-h-541341,12.000,"209,00",57,4,1,2,1.700,BRASÍLIA - ASA SUL,,,"209,00 m²",,,,,,,,
393,SQSW 104 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-104-bloco-e-370855,7.500,"200,00",37,4,2,3,1.650,BRASÍLIA - SUDOESTE,,,,,,,,,,,
394,CLNW 10/11 Lote F   - Corum,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-clnw-10-11-lote-f-258900,1.897,"45,19",42,1,,1,480,BRASÍLIA - NOROESTE,182,2 Andares,,Corum,,,Perpendicular,Meio,1° Andar,26,
395,SQS 110 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-110-bloco-a-524270,3.980,"100,00",39,3,1,1,1.215,BRASÍLIA - ASA SUL,190,,"100,00 m²",,,,,,,,
396,CLN 316 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-316-bloco-b-503515,580,"23,00",25,1,,,231,BRASÍLIA - ASA NORTE,269,,,,,,,,,,
397,CLN 313 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-313-bloco-e-474292,950,"43,00",22,1,,,370,BRASÍLIA - ASA NORTE,,2 Andares,,,,,Perpendicular,,2° Andar,,
398,SQNW 108 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-h-557992,4.390,"82,00",53,2,1,3,1.200,BRASÍLIA - NOROESTE,,6 Andares,"174,00 m²",,,,,,,,
399,CA 02,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-02-589103,2.000,"60,00",33,2,,1,481,BRASÍLIA - LAGO NORTE,852,,"60,00 m²",,,,,,,,
400,QC 1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-jardins-mangueiral-brasilia-df-qc-1-602005,1.700,"48,00",35,2,,1,304,BRASÍLIA - JARDINS MANGUEIRAL,,,"48,00 m²",,"60,00 m²",,Nascente,Frente,,,
401,"SQS 302 Bloco A Ótima localização, vista arborizada !",https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-302-bloco-a-601602,5.200,"120,00",43,3,1,1,990,BRASÍLIA - ASA SUL,,6 Andares,"140,00 m²",,,,Perpendicular,Vazado,2° Andar,2,
402,CLN 311 Bloco D,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-311-bloco-d-20959,550,"35,00",15,1,,,416,BRASÍLIA - ASA NORTE,817,,"50,00 m²",,,,,,,,
403,AOS 04 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-octogonal-brasilia-df-aos-04-bloco-a-602610,2.900,"71,58",40,2,,1,752,BRASÍLIA - OCTOGONAL,1.373,6 Andares,"71,58 m²",,,,,,,,
404,SQSW 103 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-sqsw-103-bloco-k-588284,3.300,"80,00",41,2,1,1,597,BRASÍLIA - SUDOESTE,347,,,,,,,,,,
405,SQS 314 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-314-bloco-a-571202,10.000,"220,00",45,4,1,2,,BRASÍLIA - ASA SUL,,,,,,,,,2° Andar,,
406,CLN 114 Bloco D,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-114-bloco-d-507238,900,"30,00",30,1,,,196,BRASÍLIA - ASA NORTE,611,,,,,,,,,,
407,SQS 402 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-402-bloco-f-568988,3.000,"63,00",47,2,1,,701,BRASÍLIA - ASA SUL,202,,"63,00 m²",,,,,,,,
408,SQNW 109 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-109-bloco-d-510648,6.700,"115,00",58,4,,,1.500,BRASÍLIA - NOROESTE,241,6 Andares,"115,00 m²",,,,,,,,
409,QMSW 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-4-479270,1.000,"30,00",33,1,,1,430,BRASÍLIA - SUDOESTE,120,3 Andares,,,,,,,3° Andar,,
410,SCES Trecho 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-228694,4.200,"40,00",105,1,1,,,BRASÍLIA - ASA SUL,,,,,,,,,,,
411,EQN 309/310,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-eqn-309-310-601425,860,"29,00",29,2,,,,BRASÍLIA - ASA NORTE,1.805,3 Andares,,,,,,,3° Andar,,
412,AOS 07 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-octogonal-brasilia-df-aos-07-bloco-f-595016,3.000,"62,00",48,2,,1,777,BRASÍLIA - OCTOGONAL,,,"62,00 m²",,,,,,,,
413,SEPS 713/913,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-332322,1.240,"28,00",44,1,,1,270,BRASÍLIA - ASA SUL,110,3 Andares,"28,00 m²",,,,,,,,
414,SQN 104 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-104-bloco-a-220331,4.500,"120,00",37,3,1,1,815,BRASÍLIA - ASA NORTE,,,"120,00 m²",,,,,,,,
415,SHTN Trecho 1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-1-539872,2.200,"37,00",59,1,,,1.098,BRASÍLIA - ASA NORTE,2.747,,"79,00 m²",,,,,,,,
416,SQS 303,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-303-400875,6.500,"130,00",50,3,1,1,,BRASÍLIA - ASA SUL,,,,,,,,,,,
417,SCLRN 707 Bloco C,https://www.dfimoveis.com.br/imovel/kitnet-0-quartos-aluguel-asa-norte-brasilia-df-sclrn-707-bloco-c-290156,950,"33,00",28,,,,100,BRASÍLIA - ASA NORTE,,,,,,,,,,,
418,CCSW 4 TOP MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-4-219761,950,"30,00",31,1,1,1,450,BRASÍLIA - SUDOESTE,700,7 Andares,"30,00 m²",,,,Nascente,Meio,5° Andar,,
419,"SQS 303 Bloco C REFORMADO, VAZADO, NASCENTE",https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-303-bloco-c-563017,5.800,"110,00",52,3,1,1,1.015,BRASÍLIA - ASA SUL,2.261,6 Andares,"110,00 m²",,,,Nascente,Frente,4° Andar,,
420,SQS 405 Bloco O,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-405-bloco-o-13178,3.300,"78,00",42,3,,,740,BRASÍLIA - ASA SUL,87,,,,,Sim,,,,,
421,CA 10,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-10-578870,2.600,"62,00",41,2,1,1,890,BRASÍLIA - LAGO NORTE,915,4 Andares,"62,00 m²",,,,Perpendicular,Lateral,4° Andar,,
422,SQNW 110 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-110-bloco-d-601478,6.000,"109,00",55,2,1,1,1.200,BRASÍLIA - NOROESTE,,,,,,,,,,,
423,SGAN 914 Módulo H KIT TERREA - ED. MONTE CARLO,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-914-modulo-h-449328,1.200,"30,00",40,1,,,277,BRASÍLIA - ASA NORTE,117,,,,,,,,,,
424,SQN 309 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-309-bloco-b-89187,3.100,"80,00",38,2,1,1,650,BRASÍLIA - ASA NORTE,,,,,,,,,,,
425,SQN 313 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-313-bloco-f-561061,3.000,"75,00",40,2,,1,600,BRASÍLIA - ASA NORTE,13,6 Andares,"120,00 m²",,,,Poente,Fundos,5° Andar,4,
426,SQSW 102 Bloco G excelente / reformado / ao lado do COC,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-102-bloco-g-591454,4.350,"87,00",50,3,1,1,,BRASÍLIA - SUDOESTE,,6 Andares,,,,,,,2° Andar,,
427,SQN 206,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-206-559846,4.200,"120,00",35,3,1,1,1.350,BRASÍLIA - ASA NORTE,,,"194,00 m²",,,,,,,,
428,SQS 315,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-315-600485,6.200,"131,00",47,3,1,1,1.502,BRASÍLIA - ASA SUL,,6 Andares,"211,00 m²",,,,,,6° Andar,,
429,SQN 215 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-215-bloco-c-576061,4.000,"120,00",33,3,1,,892,BRASÍLIA - ASA NORTE,338,,,,,,,,,,
430,SGAN 914 Módulo H,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sgan-914-modulo-h-223430,1.200,"30,00",40,1,,,269,BRASÍLIA - ASA NORTE,,,"30,00 m²",,,,,,,,
431,CLSW 103 Bloco A,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-clsw-103-bloco-a-228698,1.000,"30,00",33,1,,,321,BRASÍLIA - SUDOESTE,,,,,,,,,,,
432,SQS 316 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-316-bloco-g-522404,5.500,"158,00",34,3,2,1,,BRASÍLIA - ASA SUL,,,"158,00 m²",,,,,,,,
433,SQS 313 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-313-bloco-h-355351,7.000,"210,00",33,4,1,2,1.700,BRASÍLIA - ASA SUL,4.922,,"210,00 m²",,,,,,,,
434,EQS 414/415,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-eqs-414-415-602616,2.300,"70,00",32,1,,,85,BRASÍLIA - ASA SUL,,,,,,,,,,,
435,SEPS 712/912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-236301,1.300,"25,00",52,1,,1,306,BRASÍLIA - ASA SUL,1.541,5 Andares,,,,,,,,,
436,SQN 410,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-410-572460,3.600,"82,00",43,3,1,,550,BRASÍLIA - ASA NORTE,,,"126,00 m²",,,,Nascente,Frente,,,
437,SCRN 710/711 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-scrn-710-711-bloco-h-575681,2.990,"68,00",43,2,1,,460,BRASÍLIA - ASA NORTE,140,3 Andares,"78,00 m²",,,,Nascente,Frente,2° Andar,,
438,SMAS Trecho 1 C Vista Livre  - Living Park Sul,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-400175,8.200,"145,80",56,4,2,3,1.599,BRASÍLIA - PARK SUL,2.024,9 Andares,,Living Park Sul,"62.500,00 m²",,Nascente,Frente,8° Andar,2,
439,CA 02,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-414013,1.650,"30,00",55,1,1,1,320,BRASÍLIA - LAGO NORTE,187,4 Andares,,,,,Poente,,1° Andar,,
440,CA 10,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-10-584212,2.350,"63,00",37,2,,1,572,BRASÍLIA - LAGO NORTE,71,,"63,00 m²",,,,,,,,
441,SQS 104 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-104-bloco-f-598353,3.000,"78,00",38,2,,,900,BRASÍLIA - ASA SUL,,,"95,00 m²",,,,,,,,
442,QMSW 5 Lote 9,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-lote-9-354694,1.200,"25,00",48,1,1,1,334,BRASÍLIA - SUDOESTE,165,,,,,,,,,,
443,SQS 411 Bloco O,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-411-bloco-o-601467,1.400,"62,00",22,2,,,,BRASÍLIA - ASA SUL,,,,,,,,,,,
444,CA 05,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-05-307046,1.900,"35,00",54,1,,1,414,BRASÍLIA - LAGO NORTE,820,,,,,,,,,,
445,SGCV Lote 13   - Vista Park Sul Hplus Long Stay,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-park-sul-brasilia-df-sgcv-lote-13-586796,1.600,"30,00",53,1,,1,554,BRASÍLIA - PARK SUL,,,"38,00 m²",Vista Park Sul Hplus Long Stay,,,Perpendicular,Frente,8° Andar,,
446,SQS 315,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-315-575334,5.490,"140,00",39,3,1,1,1.008,BRASÍLIA - ASA SUL,243,6 Andares,"140,00 m²",,,,,,,,
447,SQN 208 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-208-bloco-d-286033,3.600,"84,00",42,2,1,1,887,BRASÍLIA - ASA NORTE,,,"84,00 m²",,,,,,,,
448,CA 05,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-05-603500,1.850,"55,00",33,2,1,,562,BRASÍLIA - LAGO NORTE,,,,,,,,,,,
449,SQS 316 Bloco J,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-316-bloco-j-603565,6.500,"158,00",41,3,1,1,1.320,BRASÍLIA - ASA SUL,225,,,,,,,,,,
450,SEPS 713/913,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-505395,1.290,"33,00",39,1,,,410,BRASÍLIA - ASA SUL,110,5 Andares,,,,,,,,,
451,CLSW 300B Bloco 2,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-clsw-300b-bloco-2-593297,2.500,"60,00",41,2,,1,762,BRASÍLIA - SUDOESTE,239,,"60,00 m²",,,,,,,,
452,SQN 111 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-111-bloco-d-563596,4.350,"98,00",44,3,1,1,,BRASÍLIA - ASA NORTE,,6 Andares,,,,,,Frente,2° Andar,,
453,SGAN 911 Módulo G  Excelente Kitnet semi mobiliada na Asa Norte,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sgan-911-modulo-g--480964,1.300,"25,00",52,1,,1,355,BRASÍLIA - ASA NORTE,151,,,,,,,,,,
454,SQSW 303 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-sqsw-303-bloco-h-127104,3.100,"89,00",34,2,1,1,868,BRASÍLIA - SUDOESTE,,,,,,,,,,,
455,SQN 215 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-215-bloco-h-191985,3.700,"128,00",28,3,1,1,950,BRASÍLIA - ASA NORTE,,,"127,00 m²",,,,,,,,
456,SQS 103,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-103-341862,3.050,"35,00",87,2,,1,,BRASÍLIA - ASA SUL,,,,,,,Nascente,Frente,,,
457,CLN 308 Bloco C ÓTIMA LOCALIZAÇÃO!,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-308-bloco-c-602759,1.100,"30,00",36,1,1,,257,BRASÍLIA - ASA NORTE,45,,"30,00 m²",,,,,,,,
458,SHTN Trecho 2 Lote 3,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-2-lote-3-597584,2.700,"31,00",87,1,,,,BRASÍLIA - ASA NORTE,,,,,,,,,,,
459,CLN 403 Bloco A Plano Imóveis Aluga Excelente Kitnet,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-403-bloco-a-245184,1.200,"39,52",30,1,,,369,BRASÍLIA - ASA NORTE,270,,,,,,,,,,
460,CA 02,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-429375,1.500,"33,47",44,1,,,400,BRASÍLIA - LAGO NORTE,1.986,,"69,17 m²",,,,,,,,
461,SGAS 910,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sgas-910-500458,920,"30,00",30,1,,,290,BRASÍLIA - ASA SUL,,,"30,00 m²",,,,,,,,
462,CLN 216 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-216-bloco-d-118474,800,"30,00",26,1,,,312,BRASÍLIA - ASA NORTE,52,2 Andares,"30,00 m²",,,,,,,,
463,SQN 411 Bloco H OPORTUNIDADE! Apartamento de 1 quarto em prédio residencial!,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sqn-411-bloco-h-473299,1.400,"30,00",46,1,,,,BRASÍLIA - ASA NORTE,,,,,,,,,,,
464,SQSW 100 Bloco C   - VIVENDAS SUDOESTE,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-100-bloco-c-157482,3.900,"90,00",43,3,1,1,980,BRASÍLIA - SUDOESTE,2.194,6 Andares,,VIVENDAS SUDOESTE,,,,,3° Andar,4,
465,SQN 108,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-108-305961,4.500,"122,00",36,2,1,2,1.118,BRASÍLIA - ASA NORTE,2.039,,,,,,,,,,
466,SQS 404 Bloco M,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-404-bloco-m-603724,3.100,"67,00",46,3,,1,915,BRASÍLIA - ASA SUL,,1 Andar,"67,00 m²",,,,,,,,Sim
467,CA 09,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-09-578365,980,"26,00",37,1,,,368,BRASÍLIA - LAGO NORTE,126,,,,,,,,,,
468,SQSW 301,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-301-562415,10.800,"289,00",37,5,3,3,3.870,BRASÍLIA - SUDOESTE,,6 Andares,"330,00 m²",,,,,,,,
469,SQNW 107 Bloco C NASCENTE,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-107-bloco-c-594622,4.100,"86,00",47,2,1,2,850,BRASÍLIA - NOROESTE,,6 Andares,"86,00 m²",,"1.000,00 m²",,Nascente,Meio,3° Andar,6,
470,SCRN 716 Bloco C,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-scrn-716-bloco-c-176031,790,"28,00",28,1,,,280,BRASÍLIA - ASA NORTE,127,,"28,00 m²",,,,,,,,
471,SGAN 912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-912-55772,1.100,"25,00",44,1,,1,354,BRASÍLIA - ASA NORTE,151,,,,,,,,,,
472,SQN 203 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-203-bloco-c-593114,2.900,"89,00",32,2,,1,950,BRASÍLIA - ASA NORTE,1.740,6 Andares,"89,00 m²",,,,Poente,Meio,4° Andar,2,
473,CCSW 5 proximo ao pão de açucar,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-5-514908,900,"33,00",27,1,1,,250,BRASÍLIA - SUDOESTE,70,2 Andares,,,,,Nascente,Frente,1° Andar,,
474,SQS 203,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sqs-203-292214,11.800,"146,00",80,1,1,1,1.428,BRASÍLIA - ASA SUL,,6 Andares,"146,00 m²",,,,,,2° Andar,,
475,SQNW 311 Bloco D   - Atrium DOR,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-d-561209,2.200,"34,00",64,1,,1,400,BRASÍLIA - NOROESTE,,6 Andares,,Atrium DOR,,,Nascente,Frente,2° Andar,,
476,SQS 304 Bloco J,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-304-bloco-j-566119,3.800,"130,00",29,3,1,,1.182,BRASÍLIA - ASA SUL,2.347,6 Andares,"130,00 m²",,,,Poente,Frente,5° Andar,2,
477,CRS 516 Bloco C ASA SUL,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-crs-516-bloco-c-508164,1.600,"52,00",30,1,,,266,BRASÍLIA - ASA SUL,,2 Andares,"52,00 m²",,,,,Meio,1° Andar,6,
478,CLN 115 Bloco D,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-115-bloco-d-351623,800,"44,00",18,1,,,391,BRASÍLIA - ASA NORTE,,2 Andares,"44,00 m²",,,,,,,,
479,SQSW 304 Bloco B Apartamento alto padrão no Sudoeste,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-304-bloco-b-507360,5.900,"179,88",32,4,2,2,2.300,BRASÍLIA - SUDOESTE,733,,,,,,,,6° Andar,,
480,SCES Trecho 4   - Lake View Resort,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-246759,4.500,"41,00",109,1,1,1,1.000,BRASÍLIA - ASA SUL,,3 Andares,,Lake View Resort,,,Perpendicular,Frente,3° Andar,,
481,SQN 111 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-111-bloco-h-494451,3.900,"119,00",32,3,1,1,781,BRASÍLIA - ASA NORTE,2.029,,,,,,,,,,
482,SEPS 713/913,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-107466,1.300,"35,00",37,1,,1,410,BRASÍLIA - ASA SUL,114,5 Andares,,,,,,,,,
