,name,link,price,area,Quartos,Suítes,Garagens,Condomínio R$,Cidade,setor
0,SQS 208 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-208-bloco-g-132215,3500,90,2.0,1.0,1.0,770.0,BRASÍLIA - ASA SUL,SQS
1,SQS 308 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-308-bloco-i-539719,3800,115,2.0,,1.0,1.21,BRASÍLIA - ASA SUL,SQS
2,SQS 407 Bloco N,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-407-bloco-n-558454,2500,77,3.0,,,508.0,BRASÍLIA - ASA SUL,SQS
3,SQN 316 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-316-bloco-d-589121,2600,60,2.0,,1.0,557.0,BRASÍLIA - ASA NORTE,SQN
4,SCES Trecho 4 Apartamento Vista Piscina/Lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-505960,3000,48,1.0,1.0,1.0,1.0,BRASÍLIA - ASA SUL,SCES
5,CRS 516 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-crs-516-bloco-c-408432,1500,34,1.0,,,383.0,BRASÍLIA - ASA SUL,CRS
6,CRS 502 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-crs-502-bloco-b-587168,2000,59,1.0,,1.0,546.0,BRASÍLIA - ASA SUL,CRS
7,CCSW 1   - ED. PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-345005,3700,26,1.0,1.0,1.0,409.0,BRASÍLIA - SUDOESTE,CCSW
8,SQS 313 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-313-bloco-h-523815,11900,209,3.0,1.0,2.0,1700.0,BRASÍLIA - ASA SUL,SQS
9,CA 09 Condomínio Liberty 03,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-09-518088,2200,62,2.0,,1.0,530.0,BRASÍLIA - LAGO NORTE,CA
10,SQN 212 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-212-bloco-h-578353,6000,154,3.0,2.0,1.0,1600.0,BRASÍLIA - ASA NORTE,SQN
11,SCES Trecho 4 Apartamento maravilhoso!  - Condominio Brisas do Lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-383579,2700,40,1.0,1.0,1.0,1.1,BRASÍLIA - ASA SUL,SCES
12,SQS 410 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sqs-410-bloco-a-216957,1900,40,1.0,,,220.0,BRASÍLIA - ASA SUL,SQS
13,SQNW 107 Bloco G EDIFÍCIO V&C 36,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-107-bloco-g-565952,12800,213,3.0,3.0,4.0,2370.0,BRASÍLIA - NOROESTE,SQNW
14,SQS 410 Bloco T OTIMO AP COM AMBIENTES AMPLOS E QUARTO DEPOSITO,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-410-bloco-t-472649,2800,114,3.0,1.0,,572.0,BRASÍLIA - ASA SUL,SQS
15,SQS 403,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-403-566263,2800,50,2.0,,,565.0,BRASÍLIA - ASA SUL,SQS
16,CRS 504 Bloco B,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-crs-504-bloco-b-525528,1100,28,1.0,,,130.0,BRASÍLIA - ASA SUL,CRS
17,SQNW 109,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-109-553002,9200,148,4.0,2.0,4.0,1648.0,BRASÍLIA - NOROESTE,SQNW
18,SQS 207 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-207-bloco-g-554532,9500,105,2.0,1.0,1.0,,BRASÍLIA - ASA SUL,SQS
19,SQS 112 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-112-bloco-e-201930,3900,110,3.0,,,889.0,BRASÍLIA - ASA SUL,SQS
20,SQN 313,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-313-144395,3700,160,3.0,1.0,1.0,945.0,BRASÍLIA - ASA NORTE,SQN
21,SQS 304 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-304-bloco-b-568393,6800,163,3.0,1.0,,1100.0,BRASÍLIA - ASA SUL,SQS
22,SQN 311 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-311-bloco-d-529886,3400,75,2.0,,1.0,646.0,BRASÍLIA - ASA NORTE,SQN
23,SQN 408 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-408-bloco-f-594710,3900,120,4.0,1.0,,821.0,BRASÍLIA - ASA NORTE,SQN
24,SQN 303 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-sqn-303-bloco-h-590017,3500,78,1.0,,,897.0,BRASÍLIA - ASA NORTE,SQN
25,SQNW 311 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-c-574430,2150,34,1.0,1.0,1.0,387.0,BRASÍLIA - NOROESTE,SQNW
26,CA 02,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-554940,1500,35,1.0,,1.0,400.0,BRASÍLIA - LAGO NORTE,CA
27,SMAS,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-smas-523793,15000,211,3.0,3.0,4.0,1931.0,BRASÍLIA - PARK SUL,SMAS
28,CCSW 1 Lote 4 Bloco A   - PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-lote-4-bloco-a-223859,3300,26,1.0,1.0,1.0,410.0,BRASÍLIA - SUDOESTE,CCSW
29,SEPS 712/912,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-712-912-594165,1300,24,1.0,,,291.0,BRASÍLIA - ASA SUL,SEPS
30,SQS 106 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-106-bloco-e-516971,3100,115,2.0,1.0,,881.0,BRASÍLIA - ASA SUL,SQS
31,CCSW 1   - ED. PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-432460,3400,26,1.0,1.0,1.0,410.0,BRASÍLIA - SUDOESTE,CCSW
32,SQN 109,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-109-570799,4200,103,2.0,1.0,1.0,873.0,BRASÍLIA - ASA NORTE,SQN
33,SQNW 103,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-103-573066,16500,204,3.0,3.0,4.0,2111.0,BRASÍLIA - NOROESTE,SQNW
34,SQN 210,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-210-394998,4000,123,3.0,1.0,1.0,1200.0,BRASÍLIA - ASA NORTE,SQN
35,CLSW 300B Bloco 3 Leonardo Center,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-clsw-300b-bloco-3-506720,2000,30,1.0,,1.0,388.0,BRASÍLIA - SUDOESTE,CLSW
36,SQS 316 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-316-bloco-b-570378,5500,158,3.0,1.0,1.0,1500.0,BRASÍLIA - ASA SUL,SQS
37,QMSW 5,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-287793,1300,26,1.0,,1.0,309.0,BRASÍLIA - SUDOESTE,QMSW
38,SQN 303 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-303-bloco-e-470731,13000,240,4.0,4.0,,1700.0,BRASÍLIA - ASA NORTE,SQN
39,SQN 206 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-206-bloco-i-494368,4200,127,3.0,1.0,1.0,1010.0,BRASÍLIA - ASA NORTE,SQN
40,CLN 312 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-cln-312-bloco-b-600793,2300,77,3.0,,,120.0,BRASÍLIA - ASA NORTE,CLN
41,SQNW 311 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-311-bloco-b-100459,4200,86,2.0,1.0,1.0,598.0,BRASÍLIA - NOROESTE,SQNW
42,SMAS Trecho 1 C,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-573064,7000,100,3.0,1.0,2.0,1.2,BRASÍLIA - PARK SUL,SMAS
43,CA 02,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-530586,680,28,1.0,,,305.0,BRASÍLIA - LAGO NORTE,CA
44,SQNW 108 Bloco I   - Jardins Bela Vista,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-i-119060,4200,81,2.0,1.0,2.0,968.0,BRASÍLIA - NOROESTE,SQNW
45,SQNW 307,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-307-598544,6800,100,2.0,2.0,2.0,830.0,BRASÍLIA - NOROESTE,SQNW
46,SQSW 101 Bloco G Edifício Porto Príncipe,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-101-bloco-g-597429,5500,91,3.0,1.0,1.0,1.046,BRASÍLIA - SUDOESTE,SQSW
47,SMAS Trecho 1 C,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-430221,15000,211,4.0,3.0,4.0,1931.0,BRASÍLIA - PARK SUL,SMAS
48,AOS 04 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-octogonal-brasilia-df-aos-04-bloco-c-576015,3200,75,3.0,,1.0,700.0,BRASÍLIA - OCTOGONAL,AOS
49,SQS 115,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-115-442299,5250,150,2.0,2.0,1.0,1600.0,BRASÍLIA - ASA SUL,SQS
50,SQSW 504 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-504-bloco-b-208634,5500,95,3.0,1.0,1.0,880.0,BRASÍLIA - SUDOESTE,SQSW
51,SQN 310 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-310-bloco-i-268101,4850,180,3.0,1.0,1.0,814.0,BRASÍLIA - ASA NORTE,SQN
52,SGAN 914,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-914-50038,900,29,1.0,,,277.0,BRASÍLIA - ASA NORTE,SGAN
53,SQS 311 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-311-bloco-k-587115,4450,126,3.0,1.0,,1040.0,BRASÍLIA - ASA SUL,SQS
54,SQNW 102,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-102-568809,17000,160,3.0,3.0,3.0,1800.0,BRASÍLIA - NOROESTE,SQNW
55,SQN 105 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-105-bloco-b-600443,4500,111,3.0,1.0,1.0,1.022,BRASÍLIA - ASA NORTE,SQN
56,SMAS Trecho 1 C   - Living,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-596797,8200,145,4.0,2.0,3.0,,BRASÍLIA - PARK SUL,SMAS
57,SQS 204,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-204-567332,3600,120,3.0,1.0,1.0,1.15,BRASÍLIA - ASA SUL,SQS
58,QMSW 4 Lote 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-4-lote-4-515555,1200,30,1.0,,1.0,344.0,BRASÍLIA - SUDOESTE,QMSW
59,SGAN 911,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-911-568861,1050,31,1.0,1.0,1.0,324.0,BRASÍLIA - ASA NORTE,SGAN
60,SHS Quadra 6,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-shs-quadra-6-55643,2065,41,1.0,1.0,,1.7,BRASÍLIA - ASA SUL,SHS
61,CA 09   - SAN GIOVANNI,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-09-305478,1800,70,1.0,1.0,1.0,886.0,BRASÍLIA - LAGO NORTE,CA
62,SQN 404,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-404-121559,2800,70,3.0,,,500.0,BRASÍLIA - ASA NORTE,SQN
63,SQSW 100 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-100-bloco-g-553865,8500,200,3.0,2.0,2.0,1450.0,BRASÍLIA - SUDOESTE,SQSW
64,"SHN Quadra 05 Bloco I Mercure rReforma Total, Mobilia completa, nasc. Vista livre",https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-05-bloco-i-553096,4600,50,1.0,1.0,,,BRASÍLIA - ASA NORTE,SHN
65,SQN 215,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-215-522363,3500,117,3.0,1.0,1.0,914.0,BRASÍLIA - ASA NORTE,SQN
66,CCSW 2 Lote 4 LÍnea Studio Home,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-ccsw-2-lote-4-513267,3000,57,2.0,,1.0,950.0,BRASÍLIA - SUDOESTE,CCSW
67,SCES Trecho 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-419615,5600,52,1.0,1.0,,,BRASÍLIA - ASA SUL,SCES
68,QMSW 5 Lote 2 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-lote-2-bloco-c-454181,1900,28,1.0,1.0,2.0,372.0,BRASÍLIA - SUDOESTE,QMSW
69,SQN 213 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-213-bloco-h-118021,5000,105,3.0,2.0,1.0,1.15,BRASÍLIA - ASA NORTE,SQN
70,SQSW 105,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-105-575956,3900,92,3.0,1.0,1.0,948.0,BRASÍLIA - SUDOESTE,SQSW
71,SQNW 108 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-h-579637,4800,78,2.0,1.0,2.0,1.12,BRASÍLIA - NOROESTE,SQNW
72,SQNW 311 Bloco C Condomínio Atrium Platine,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-c-554135,2600,34,1.0,,1.0,,BRASÍLIA - NOROESTE,SQNW
73,SQN 213 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-213-bloco-f-169932,5900,110,3.0,1.0,2.0,1.136,BRASÍLIA - ASA NORTE,SQN
74,SQSW 305 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-305-bloco-a-588187,6000,104,3.0,1.0,2.0,830.0,BRASÍLIA - SUDOESTE,SQSW
75,SQN 212 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-212-bloco-g-81832,3500,82,2.0,1.0,1.0,578.0,BRASÍLIA - ASA NORTE,SQN
76,SQS 312 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-312-bloco-c-592655,10500,221,4.0,2.0,1.0,1765.0,BRASÍLIA - ASA SUL,SQS
77,SEPS 713/913,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-207972,1600,26,1.0,,1.0,291.0,BRASÍLIA - ASA SUL,SEPS
78,SQS 306 Bloco G 1º andar,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-306-bloco-g-595437,5000,154,3.0,1.0,,1346.0,BRASÍLIA - ASA SUL,SQS
79,SCES Trecho 4 Brisas do lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-602783,3000,40,1.0,1.0,1.0,,BRASÍLIA - ASA SUL,SCES
80,Condomínio Ilhas do Lago,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-condominio-ilhas-do-lago-130011,8900,100,3.0,1.0,3.0,1.942,BRASÍLIA - ASA NORTE,Condomínio
81,SQSW 305,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-305-396581,9500,216,3.0,1.0,2.0,1998.0,BRASÍLIA - SUDOESTE,SQSW
82,SQNW 109 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-109-bloco-k-576970,9100,164,4.0,4.0,3.0,,BRASÍLIA - NOROESTE,SQNW
83,SHN Quadra 5,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-5-156813,2000,26,1.0,,,1.57,BRASÍLIA - ASA NORTE,SHN
84,SHTN,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-591977,2850,31,1.0,1.0,,486.0,BRASÍLIA - ASA NORTE,SHTN
85,SQS 114 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-114-bloco-a-570778,9500,302,3.0,1.0,1.0,1390.0,BRASÍLIA - ASA SUL,SQS
86,CCSW 4,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-4-132875,1200,25,1.0,,1.0,432.0,BRASÍLIA - SUDOESTE,CCSW
87,SQN 403 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-403-bloco-d-579345,4000,70,3.0,1.0,,728.0,BRASÍLIA - ASA NORTE,SQN
88,CLSW 104 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-clsw-104-bloco-b-575231,1700,48,1.0,,,309.0,BRASÍLIA - SUDOESTE,CLSW
89,SQN 112 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-112-bloco-a-592362,4800,137,3.0,1.0,1.0,1700.0,BRASÍLIA - ASA NORTE,SQN
90,CA 11,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-11-268004,1400,27,1.0,,1.0,490.0,BRASÍLIA - LAGO NORTE,CA
91,SGCV Lote 27,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-park-sul-brasilia-df-sgcv-lote-27-572067,4990,70,2.0,2.0,1.0,1.115,BRASÍLIA - PARK SUL,SGCV
92,CLN 201 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-201-bloco-b-383165,1100,37,1.0,,,471.0,BRASÍLIA - ASA NORTE,CLN
93,SQN 314 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-314-bloco-c-515729,3200,75,2.0,1.0,1.0,700.0,BRASÍLIA - ASA NORTE,SQN
94,SGCV,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-sgcv-596777,15000,211,3.0,3.0,4.0,2162.0,BRASÍLIA - PARK SUL,SGCV
95,SQS 207,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-207-561571,8000,163,3.0,1.0,1.0,1400.0,BRASÍLIA - ASA SUL,SQS
96,SHTN Trecho 1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-1-333141,3200,53,1.0,1.0,1.0,1.238,BRASÍLIA - ASA NORTE,SHTN
97,SMAS Trecho 1 C,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-smas-trecho-1-c-229334,6100,96,3.0,1.0,2.0,983.0,BRASÍLIA - PARK SUL,SMAS
98,SQS 110 Bloco E,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-110-bloco-e-523103,5500,160,3.0,1.0,1.0,1500.0,BRASÍLIA - ASA SUL,SQS
99,CA 02,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-483593,850,32,1.0,,,283.0,BRASÍLIA - LAGO NORTE,CA
100,SQN 407 Bloco P,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-407-bloco-p-581343,2100,60,2.0,,,530.0,BRASÍLIA - ASA NORTE,SQN
101,SCES Trecho 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-76516,2600,51,1.0,,1.0,1.0,BRASÍLIA - ASA SUL,SCES
102,SQNW 111 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-111-bloco-d-558679,8200,166,4.0,2.0,3.0,1950.0,BRASÍLIA - NOROESTE,SQNW
103,SQNW 108 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-h-588017,4700,76,2.0,1.0,1.0,700.0,BRASÍLIA - NOROESTE,SQNW
104,SQNW 310,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-310-65863,2490,34,1.0,,1.0,434.0,BRASÍLIA - NOROESTE,SQNW
105,QMSW 5,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-64298,1200,25,1.0,,1.0,274.0,BRASÍLIA - SUDOESTE,QMSW
106,SQSW 305 Bloco K  · 98406 - 4109,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-305-bloco-k-530626,9000,154,4.0,2.0,2.0,1500.0,BRASÍLIA - SUDOESTE,SQSW
107,SQN 211 SQN 211 ED. ATHOS BULCAO,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-211-114053,5200,75,2.0,,1.0,627.0,BRASÍLIA - ASA NORTE,SQN
108,SQS 310 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-310-bloco-g-539720,2850,54,2.0,,1.0,642.0,BRASÍLIA - ASA SUL,SQS
109,SQSW 100 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-sqsw-100-bloco-d-569321,1800,25,1.0,1.0,1.0,,BRASÍLIA - SUDOESTE,SQSW
110,"SQNW 109 Bloco C REFORMADO C/ ARMARIOS, AR COND, CORTINAS",https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-109-bloco-c-108667,7500,125,3.0,3.0,2.0,1350.0,BRASÍLIA - NOROESTE,SQNW
111,SMAS RESIDENCIAL LIVING,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-park-sul-brasilia-df-smas-520158,3950,73,2.0,1.0,2.0,762.0,BRASÍLIA - PARK SUL,SMAS
112,SQS 313 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-313-bloco-k-254214,8000,210,4.0,1.0,2.0,1900.0,BRASÍLIA - ASA SUL,SQS
113,Condomínio Ilhas do Lago,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-condominio-ilhas-do-lago-573870,8900,100,3.0,1.0,2.0,1.952,BRASÍLIA - ASA NORTE,Condomínio
114,SQNW 309 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-309-bloco-g-594184,4500,70,2.0,1.0,1.0,765.0,BRASÍLIA - NOROESTE,SQNW
115,SQSW 300 Bloco I,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-300-bloco-i-520192,14500,266,4.0,4.0,4.0,2560.0,BRASÍLIA - SUDOESTE,SQSW
116,SQNW 110 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-110-bloco-d-598316,8800,135,3.0,1.0,2.0,1500.0,BRASÍLIA - NOROESTE,SQNW
117,SQS 304 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-304-bloco-g-562783,3600,130,3.0,1.0,,980.0,BRASÍLIA - ASA SUL,SQS
118,CLNW 10/11,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-noroeste-brasilia-df-clnw-10-11-600815,2500,37,1.0,1.0,,,BRASÍLIA - NOROESTE,CLNW
