,name,link,price,area,Quartos,Suítes,Garagens,Condomínio R$,Cidade,setor
569,CA 05,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-05-400751,750,26,1.0,,,318.0,BRASÍLIA - LAGO NORTE,CA
570,SCEN Trecho 1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-scen-trecho-1-236607,5500,70,2.0,1.0,2.0,1.433,BRASÍLIA - ASA NORTE,SCEN
571,SQS 108 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-108-bloco-d-591342,2900,92,2.0,,,895.0,BRASÍLIA - ASA SUL,SQS
572,CCSW 1   - ED. PORTAL MASTER,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-432478,3400,26,1.0,1.0,1.0,410.0,BRASÍLIA - SUDOESTE,CCSW
573,SQN 212 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-212-bloco-b-594761,4700,106,4.0,2.0,2.0,856.0,BRASÍLIA - ASA NORTE,SQN
574,SQN 216 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-216-bloco-c-600570,4000,74,2.0,1.0,1.0,586.0,BRASÍLIA - ASA NORTE,SQN
575,SQN 312 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-312-bloco-d-226884,2300,75,2.0,,,500.0,BRASÍLIA - ASA NORTE,SQN
576,SQS 103 Bloco A   - ED. GUARUJÁ,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-103-bloco-a-179141,3500,110,3.0,,1.0,1.03,BRASÍLIA - ASA SUL,SQS
577,CLN 305 Bloco B,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-305-bloco-b-394674,900,29,1.0,,,,BRASÍLIA - ASA NORTE,CLN
578,CCSW 3 Lote 4   - Silco Double Kit,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-3-lote-4-376273,1400,30,1.0,1.0,1.0,521.0,BRASÍLIA - SUDOESTE,CCSW
579,QMSW 4 Lote 10   - Silco Double Kit,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-qmsw-4-lote-10-127760,2000,42,2.0,,1.0,548.0,BRASÍLIA - SUDOESTE,QMSW
580,SQNW 310 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-310-bloco-h-601430,6200,118,3.0,1.0,2.0,1.2,BRASÍLIA - NOROESTE,SQNW
581,SQSW 100 Bloco D Ed. Unicaflex ao lado do bar primeiro,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-sqsw-100-bloco-d-569333,1800,25,1.0,1.0,1.0,,BRASÍLIA - SUDOESTE,SQSW
582,SQS 210,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-210-491045,6000,185,3.0,1.0,1.0,1200.0,BRASÍLIA - ASA SUL,SQS
583,CLN 303 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-303-bloco-d-567160,1000,22,1.0,,,290.0,BRASÍLIA - ASA NORTE,CLN
584,QMSW 6,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-6-125742,2000,61,1.0,1.0,1.0,780.0,BRASÍLIA - SUDOESTE,QMSW
585,SCRN 708/709,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-708-709-598223,1400,41,1.0,,,390.0,BRASÍLIA - ASA NORTE,SCRN
586,SQNW 108 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-d-223154,8900,151,3.0,3.0,2.0,1591.0,BRASÍLIA - NOROESTE,SQNW
587,SCLRN 714 Bloco B,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sclrn-714-bloco-b-417763,900,28,1.0,,,,BRASÍLIA - ASA NORTE,SCLRN
588,SCRN 716,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-716-573598,2900,60,1.0,,,577.0,BRASÍLIA - ASA NORTE,SCRN
589,SEPS 713/913,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-601112,1700,25,1.0,1.0,1.0,244.0,BRASÍLIA - ASA SUL,SEPS
590,CA 05,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-lago-norte-brasilia-df-ca-05-519008,4800,100,2.0,1.0,1.0,1.0,BRASÍLIA - LAGO NORTE,CA
591,CLN 407 Bloco B,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-407-bloco-b-201881,1000,32,1.0,,,272.0,BRASÍLIA - ASA NORTE,CLN
592,SQNW 108 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-f-601236,5000,80,2.0,2.0,2.0,1.15,BRASÍLIA - NOROESTE,SQNW
593,SQSW 104 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-104-bloco-f-247583,4000,90,3.0,1.0,1.0,1.194,BRASÍLIA - SUDOESTE,SQSW
594,SQSW 101 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-101-bloco-k-590523,6000,152,4.0,2.0,2.0,1780.0,BRASÍLIA - SUDOESTE,SQSW
595,CLN 209,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-cln-209-256263,1200,30,1.0,,,220.0,BRASÍLIA - ASA NORTE,CLN
596,CCSW 4,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-4-511644,1000,24,1.0,,1.0,418.0,BRASÍLIA - SUDOESTE,CCSW
597,SQN 106 Bloco I Excelente Apartamento na Asa Norte,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-norte-brasilia-df-sqn-106-bloco-i-595290,6550,181,4.0,2.0,1.0,1278.0,BRASÍLIA - ASA NORTE,SQN
598,SHCGN 706 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-shcgn-706-bloco-g-48751,1900,51,2.0,,,644.0,BRASÍLIA - ASA NORTE,SHCGN
599,SQS 415 Bloco J Excelente Apartamento na Asa Sul,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-415-bloco-j-160968,1900,53,2.0,,,650.0,BRASÍLIA - ASA SUL,SQS
